frame_id,obj0_valid,obj0_class_norm,obj0_conf,obj0_dist_norm,obj0_lat_offset,obj0_width_norm,obj0_height_norm,obj0_lane_overlap,obj1_valid,obj1_class_norm,obj1_conf,obj1_dist_norm,obj1_lat_offset,obj1_width_norm,obj1_height_norm,obj1_lane_overlap,obj2_valid,obj2_class_norm,obj2_conf,obj2_dist_norm,obj2_lat_offset,obj2_width_norm,obj2_height_norm,obj2_lane_overlap,obj3_valid,obj3_class_norm,obj3_conf,obj3_dist_norm,obj3_lat_offset,obj3_width_norm,obj3_height_norm,obj3_lane_overlap,obj4_valid,obj4_class_norm,obj4_conf,obj4_dist_norm,obj4_lat_offset,obj4_width_norm,obj4_height_norm,obj4_lane_overlap,lane_r0c0,lane_r0c1,lane_r0c2,lane_r0c3,lane_r0c4,lane_r0c5,lane_r0c6,lane_r0c7,lane_r0c8,lane_r0c9,lane_r0c10,lane_r0c11,lane_r1c0,lane_r1c1,lane_r1c2,lane_r1c3,lane_r1c4,lane_r1c5,lane_r1c6,lane_r1c7,lane_r1c8,lane_r1c9,lane_r1c10,lane_r1c11,lane_r2c0,lane_r2c1,lane_r2c2,lane_r2c3,lane_r2c4,lane_r2c5,lane_r2c6,lane_r2c7,lane_r2c8,lane_r2c9,lane_r2c10,lane_r2c11,lane_r3c0,lane_r3c1,lane_r3c2,lane_r3c3,lane_r3c4,lane_r3c5,lane_r3c6,lane_r3c7,lane_r3c8,lane_r3c9,lane_r3c10,lane_r3c11,lane_r4c0,lane_r4c1,lane_r4c2,lane_r4c3,lane_r4c4,lane_r4c5,lane_r4c6,lane_r4c7,lane_r4c8,lane_r4c9,lane_r4c10,lane_r4c11,lane_r5c0,lane_r5c1,lane_r5c2,lane_r5c3,lane_r5c4,lane_r5c5,lane_r5c6,lane_r5c7,lane_r5c8,lane_r5c9,lane_r5c10,lane_r5c11,ego_steering,ego_throttle,lidar_s0,lidar_s1,lidar_s2,lidar_s3,lidar_s4,scenario,target_steering,target_throttle,imu_motion,imu_yaw_rate,imu_accel_fwd
1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00124,0.00000,0.00000,0.00000,0.13585,0.00000,0.00000,0.00000,0.03007,0.00000,0.00000,0.00000,0.02459,0.00000,0.00000,0.00000,0.06038,0.15489,0.00000,0.00000,0.00619,0.00000,0.00000,0.09782,0.00000,0.00000,0.00000,0.00000,0.00000,0.13585,0.07765,0.00000,0.00000,0.00000,0.05336,0.12547,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22075,0.00407,0.00000,0.00000,0.15654,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01616,0.18496,0.00000,0.00000,0.00000,1.89750,2.08250,1.18050,2.19800,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00071,0.00000,0.00000,0.00000,0.13355,0.00000,0.00000,0.00000,0.02919,0.00000,0.00000,0.00000,0.04068,0.00000,0.00000,0.00000,0.06103,0.15389,0.00000,0.00000,0.00637,0.00000,0.00000,0.10684,0.00248,0.00000,0.00000,0.00000,0.00000,0.13567,0.07748,0.00000,0.00000,0.00000,0.05136,0.11987,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22129,0.00354,0.00000,0.00000,0.14045,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01751,0.18520,0.00000,0.00000,0.00000,1.89650,1.18050,1.18300,2.19700,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00159,0.00000,0.00000,0.00000,0.14080,0.00000,0.00000,0.00000,0.02441,0.00000,0.00000,0.00000,0.04440,0.00000,0.00000,0.00000,0.06073,0.15542,0.00000,0.00000,0.00442,0.00000,0.00000,0.10861,0.00265,0.00000,0.00000,0.00000,0.00000,0.13638,0.07783,0.00000,0.00000,0.00000,0.05012,0.12199,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22058,0.00371,0.00000,0.00000,0.13974,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01645,0.18432,0.00000,0.00000,0.00000,1.89350,1.17950,1.18300,2.19900,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00124,0.00000,0.00000,0.00000,0.13514,0.00000,0.00000,0.00000,0.03060,0.00000,0.00000,0.00000,0.01751,0.00000,0.00000,0.00000,0.06103,0.15442,0.00000,0.00000,0.00654,0.00000,0.00000,0.10330,0.00000,0.00000,0.00000,0.00000,0.00000,0.13744,0.07748,0.00000,0.00000,0.00000,0.05289,0.12524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22093,0.00389,0.00000,0.00000,0.14611,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01627,0.18449,0.00000,0.00000,0.00000,1.89350,1.18050,1.18300,2.20900,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00177,0.00000,0.00000,0.00000,0.13903,0.00000,0.00000,0.00000,0.02848,0.00000,0.00000,0.00000,0.03520,0.00000,0.00000,0.00000,0.06085,0.15478,0.00000,0.00000,0.00654,0.00000,0.00000,0.09304,0.00000,0.00000,0.00000,0.00000,0.00000,0.13496,0.07730,0.00000,0.00000,0.00000,0.05029,0.11562,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22146,0.00389,0.00000,0.00000,0.14239,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01663,0.18290,0.00000,0.00000,0.00000,1.90750,1.17950,1.18400,2.21200,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00035,0.00000,0.00000,0.00000,0.13762,0.00000,0.00000,0.00000,0.02583,0.00000,0.00000,0.00000,0.03892,0.00000,0.00000,0.00000,0.06055,0.15401,0.00000,0.00000,0.00495,0.00000,0.00000,0.11073,0.00000,0.00000,0.00000,0.00000,0.00000,0.13196,0.07730,0.00000,0.00000,0.00000,0.04906,0.11969,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22129,0.00389,0.00000,0.00000,0.14346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01663,0.18697,0.00000,0.00000,0.00000,1.89650,2.08550,1.18150,2.19400,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00301,0.00000,0.00000,0.00000,0.13514,0.00000,0.00000,0.00000,0.02406,0.00000,0.00000,0.00000,0.02158,0.00000,0.00000,0.00000,0.06055,0.15454,0.00000,0.00000,0.00531,0.00000,0.00000,0.09463,0.00000,0.00000,0.00000,0.00000,0.00000,0.13461,0.07783,0.00000,0.00000,0.00000,0.05100,0.12075,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22058,0.00389,0.00000,0.00000,0.14062,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01645,0.18520,0.00000,0.00000,0.00000,1.89750,1.17950,1.18200,2.20700,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00053,0.00000,0.00000,0.00000,0.13532,0.00000,0.00000,0.00000,0.02848,0.00000,0.00000,0.00000,0.02936,0.00000,0.00000,0.00000,0.06032,0.15584,0.00000,0.00000,0.00672,0.00000,0.00000,0.11038,0.00000,0.00000,0.00000,0.00000,0.00000,0.13691,0.07801,0.00000,0.00000,0.00000,0.05106,0.12211,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22093,0.00389,0.00000,0.00000,0.14416,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01645,0.18485,0.00000,0.00000,0.00000,1.89950,1.18150,1.18400,2.19400,5.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00035,0.00000,0.00000,0.00000,0.13921,0.00000,0.00000,0.00000,0.02547,0.00000,0.00000,0.00000,0.02105,0.00000,0.00000,0.00000,0.06073,0.15525,0.00000,0.00000,0.00637,0.00000,0.00000,0.10259,0.00000,0.00000,0.00000,0.00000,0.00000,0.13196,0.07783,0.00000,0.00000,0.00000,0.05307,0.12524,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22040,0.00389,0.00000,0.00000,0.14558,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01627,0.18715,0.00000,0.00000,0.00000,1.89350,2.08550,1.18150,2.20800,5.00000,0,0.00000,0.91463,0.00000,0.00000,0.00000
10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00053,0.00000,0.00000,0.00000,0.13550,0.00000,0.00000,0.00000,0.02406,0.00000,0.00000,0.00000,0.04847,0.00000,0.00000,0.00000,0.06038,0.15525,0.00000,0.00000,0.00495,0.00000,0.00000,0.10454,0.00619,0.00000,0.00000,0.00000,0.00000,0.13408,0.07765,0.00000,0.00000,0.00000,0.04794,0.11462,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22146,0.00389,0.00000,0.00000,0.12754,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01663,0.18697,0.00000,0.00000,0.91463,1.89050,1.17450,1.18000,2.19400,5.00000,0,0.00000,0.91463,0.00000,0.00000,0.00000
