frame_id,obj0_valid,obj0_class_norm,obj0_conf,obj0_dist_norm,obj0_lat_offset,obj0_width_norm,obj0_height_norm,obj0_lane_overlap,obj1_valid,obj1_class_norm,obj1_conf,obj1_dist_norm,obj1_lat_offset,obj1_width_norm,obj1_height_norm,obj1_lane_overlap,obj2_valid,obj2_class_norm,obj2_conf,obj2_dist_norm,obj2_lat_offset,obj2_width_norm,obj2_height_norm,obj2_lane_overlap,obj3_valid,obj3_class_norm,obj3_conf,obj3_dist_norm,obj3_lat_offset,obj3_width_norm,obj3_height_norm,obj3_lane_overlap,obj4_valid,obj4_class_norm,obj4_conf,obj4_dist_norm,obj4_lat_offset,obj4_width_norm,obj4_height_norm,obj4_lane_overlap,lane_r0c0,lane_r0c1,lane_r0c2,lane_r0c3,lane_r0c4,lane_r0c5,lane_r0c6,lane_r0c7,lane_r0c8,lane_r0c9,lane_r0c10,lane_r0c11,lane_r1c0,lane_r1c1,lane_r1c2,lane_r1c3,lane_r1c4,lane_r1c5,lane_r1c6,lane_r1c7,lane_r1c8,lane_r1c9,lane_r1c10,lane_r1c11,lane_r2c0,lane_r2c1,lane_r2c2,lane_r2c3,lane_r2c4,lane_r2c5,lane_r2c6,lane_r2c7,lane_r2c8,lane_r2c9,lane_r2c10,lane_r2c11,lane_r3c0,lane_r3c1,lane_r3c2,lane_r3c3,lane_r3c4,lane_r3c5,lane_r3c6,lane_r3c7,lane_r3c8,lane_r3c9,lane_r3c10,lane_r3c11,lane_r4c0,lane_r4c1,lane_r4c2,lane_r4c3,lane_r4c4,lane_r4c5,lane_r4c6,lane_r4c7,lane_r4c8,lane_r4c9,lane_r4c10,lane_r4c11,lane_r5c0,lane_r5c1,lane_r5c2,lane_r5c3,lane_r5c4,lane_r5c5,lane_r5c6,lane_r5c7,lane_r5c8,lane_r5c9,lane_r5c10,lane_r5c11,ego_steering,ego_throttle,lidar_s0,lidar_s1,lidar_s2,lidar_s3,lidar_s4,scenario,target_steering,target_throttle,imu_motion,imu_yaw_rate,imu_accel_fwd,lidar_front_clear,lidar_left_gap,lidar_right_gap
1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08844,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05649,0.14463,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03608,0.05678,0.00000,0.00000,0.00000,0.17347,0.04375,0.00000,0.00000,0.00000,0.00000,0.00000,0.20678,0.00000,0.00000,0.00000,0.00000,0.00000,0.21315,0.00000,0.00000,0.00000,0.00000,0.18202,0.04015,0.00000,0.00000,0.00000,0.00000,0.00000,0.09729,0.10224,0.00000,0.00000,0.10212,0.12270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09800,0.00000,0.00000,0.00000,0.00000,3.60600,2.29350,1.68400,2.65400,2.94850,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.70300,1.68400,2.34700
2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08756,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05843,0.15507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03715,0.05961,0.00000,0.00000,0.00000,0.17435,0.04428,0.00000,0.00000,0.00000,0.00000,0.00000,0.20767,0.00000,0.00000,0.00000,0.00000,0.00000,0.21050,0.00000,0.00000,0.00000,0.00000,0.18113,0.03980,0.00000,0.00000,0.00000,0.00000,0.00000,0.09340,0.08880,0.00000,0.00000,0.10177,0.12182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07960,0.00000,0.00000,0.00000,0.00000,3.59200,2.29100,1.68200,2.48650,2.95850,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.70000,1.68200,2.34100
3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09216,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05684,0.14853,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03697,0.06156,0.00000,0.00000,0.00000,0.17512,0.04316,0.00000,0.00000,0.00000,0.00000,0.00000,0.20607,0.00000,0.00000,0.00000,0.00000,0.00000,0.21050,0.00000,0.00000,0.00000,0.00000,0.18219,0.04015,0.00000,0.00000,0.00000,0.00000,0.00000,0.09711,0.08561,0.00000,0.00000,0.10088,0.12252,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09216,0.00000,0.00000,0.00000,0.00000,3.61600,2.28800,1.68200,2.65000,2.95150,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.69500,1.68200,2.33900
4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09180,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06002,0.15383,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03626,0.05961,0.00000,0.00000,0.00000,0.16969,0.04611,0.00000,0.00000,0.00000,0.00000,0.00000,0.20802,0.00000,0.00000,0.00000,0.00000,0.00000,0.21120,0.00000,0.00000,0.00000,0.00000,0.18160,0.03968,0.00000,0.00000,0.00000,0.00000,0.00000,0.09853,0.09393,0.00000,0.00000,0.09947,0.12288,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09853,0.00000,0.00000,0.00000,0.00000,3.61000,2.28800,1.68200,2.65600,2.96650,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.69300,1.68200,2.34300
5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09074,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05820,0.15548,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03662,0.05820,0.00000,0.00000,0.00000,0.17541,0.04499,0.00000,0.00000,0.00000,0.00000,0.00000,0.20643,0.00000,0.00000,0.00000,0.00000,0.00000,0.21244,0.00000,0.00000,0.00000,0.00000,0.18090,0.04004,0.00000,0.00000,0.00000,0.00000,0.00000,0.09393,0.09481,0.00000,0.00000,0.10000,0.12217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11303,0.00000,0.00000,0.00000,0.00000,3.59200,2.29050,1.68200,2.65300,2.94250,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.70900,1.68200,2.34700
6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08986,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05713,0.15000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03644,0.05908,0.00000,0.00000,0.00000,0.16692,0.04340,0.00000,0.00000,0.00000,0.00000,0.00000,0.20678,0.00000,0.00000,0.00000,0.00000,0.00000,0.20908,0.00000,0.00000,0.00000,0.00000,0.18196,0.03986,0.00000,0.00000,0.00000,0.00000,0.00000,0.09623,0.08650,0.00000,0.00000,0.10018,0.12270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06156,0.00000,0.00000,0.00000,0.00000,3.62700,2.29100,1.68100,2.65400,2.95450,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.69200,1.68100,2.34700
7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05867,0.15094,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03679,0.06032,0.00000,0.00000,0.00000,0.17453,0.04357,0.00000,0.00000,0.00000,0.00000,0.00000,0.20731,0.00000,0.00000,0.00000,0.00000,0.00000,0.20607,0.00000,0.00000,0.00000,0.00000,0.18078,0.03945,0.00000,0.00000,0.00000,0.00000,0.00000,0.09198,0.09340,0.00000,0.00000,0.09965,0.12093,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09623,0.00000,0.00000,0.00000,0.00000,3.59200,2.29300,1.68300,2.64900,2.93250,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.70000,1.68300,2.34900
8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05973,0.14864,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03750,0.05749,0.00000,0.00000,0.00000,0.17665,0.04357,0.00000,0.00000,0.00000,0.00000,0.00000,0.20749,0.00000,0.00000,0.00000,0.00000,0.00000,0.21173,0.00000,0.00000,0.00000,0.00000,0.18213,0.03986,0.00000,0.00000,0.00000,0.00000,0.00000,0.09906,0.09870,0.00000,0.00000,0.10035,0.12182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10719,0.00000,0.00000,0.00000,0.00000,3.59200,2.29000,1.68300,2.65700,2.95950,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.69900,1.68300,2.35000
9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05725,0.14917,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03697,0.05855,0.00000,0.00000,0.00000,0.17382,0.04463,0.00000,0.00000,0.00000,0.00000,0.00000,0.20749,0.00000,0.00000,0.00000,0.00000,0.00000,0.20855,0.00000,0.00000,0.00000,0.00000,0.18361,0.03927,0.00000,0.00000,0.00000,0.00000,0.00000,0.09446,0.08880,0.00000,0.00000,0.10106,0.12217,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03962,0.00000,0.00000,0.00000,0.00000,3.60600,2.29000,1.68300,2.64950,2.95850,0,0.00000,0.00000,0.00000,0.00000,0.00000,1.69200,1.68300,2.34300
10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05867,0.15041,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03591,0.05678,0.00000,0.00000,0.00000,0.17129,0.04575,0.00000,0.00000,0.00000,0.00000,0.00000,0.20413,0.00000,0.00000,0.00000,0.00000,0.00000,0.21191,0.00000,0.00000,0.00000,0.00000,0.18125,0.04021,0.00000,0.00000,0.00000,0.00000,0.00000,0.09004,0.10171,0.00000,0.00000,0.10035,0.12252,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09393,0.00000,0.00000,0.00000,0.00000,3.63500,2.28800,1.68100,2.65400,2.95850,0,0.00000,0.91463,0.00000,0.00000,0.00000,1.69600,1.68100,2.34200
